SRR341677	2
SRR1761706	0
ERR260136	1
SRR1761712	0
ERR260229	1
ERR260175	1
SRR5650097	1
SRR413724	2
SRR341592	2
SRR341599	2
ERR260222	1
ERR260135	1
SRR5650039	1
ERR260146	1
SRR1930121	0
SRR341641	2
SRR1930149	0
SRR341713	-1
SRR5650055	-1
SRR341666	2
SRR341671	2
ERR260161	1
SRR5650089	1
SRR5650098	1
SRR341647	2
SRR5650103	1
SRR2912811	1
SRR5650030	1
SRR2912789	1
ERR260162	1
SRR5650109	-1
SRR1761711	0
ERR260173	1
SRR341684	2
SRR2912795	1
ERR260215	1
SRR341722	2
SRR5650062	-1
SRR413731	2
ERR260189	1
SRR2912796	1
SRR341692	2
SRR5650099	1
ERR260195	1
ERR260203	1
SRR5650112	1
SRR1778452	1
SRR2912803	1
SRR1929574	0
ERR260152	1
SRR5650102	1
SRR5650082	-1
SRR1761702	0
SRR341638	2
SRR341708	2
SRR2912791	1
SRR413615	2
SRR1778453	-1
ERR260223	1
SRR341712	-1
SRR341673	-1
SRR341703	-1
SRR2912793	1
SRR5650101	1
ERR260187	1
ERR260184	1
SRR5650032	-1
SRR341706	2
SRR5650026	1
SRR2912806	1
SRR341675	2
SRR413631	-1
ERR260182	1
SRR341702	2
SRR5650054	1
SRR341660	-1
SRR1761664	0
SRR341586	2
ERR260226	1
ERR260172	1
SRR1930177	0
SRR341627	2
SRR341710	2
SRR341620	2
SRR341583	-1
SRR341639	2
SRR341705	2
SRR341657	-1
SRR2912781	1
SRR5650070	-1
SRR341689	2
SRR5650106	1
ERR260214	-1
SRR2912798	1
SRR1761720	0
SRR341687	2
SRR341663	2
SRR341714	2
SRR1778456	2
SRR1778455	-1
ERR260177	1
ERR260221	1
SRR5650092	1
SRR5650110	1
SRR341629	-1
SRR341720	1
SRR341676	2
SRR1930187	0
SRR1930145	0
SRR5650029	1
SRR1761713	0
SRR341645	2
SRR341596	2
ERR260220	-1
SRR2912777	1
SRR5650085	-1
SRR1778454	2
ERR260171	1
SRR1761700	0
SRR341590	2
SRR341630	2
SRR5650043	1
SRR1761666	0
SRR1929485	0
SRR5650049	1
SRR5650080	-1
SRR2912802	1
SRR5650024	1
SRR341622	2
SRR341626	2
SRR5650076	-1
SRR341693	2
ERR260200	1
SRR5650073	1
SRR341721	2
SRR5650056	-1
ERR260193	1
SRR5650061	1
SRR341649	2
SRR341610	2
ERR260157	1
SRR341665	2
SRR413670	-1
SRR341650	2
SRR413671	-1
SRR413669	-1
ERR260174	1
SRR5650119	-1
SRR341609	2
SRR5650063	-1
ERR260153	1
SRR5650086	1
ERR260197	1
SRR2912794	-1
SRR1761675	0
SRR1930143	0
SRR5650074	1
SRR5650060	1
SRR341643	2
ERR260170	1
SRR5650068	-1
ERR260160	1
SRR5650120	-1
SRR341623	2
SRR341672	-1
SRR341613	2
SRR5650042	1
SRR5650036	2
SRR1930244	0
SRR5650041	1
SRR5650027	1
ERR260218	1
SRR413672	-1
SRR1761672	0
SRR5650118	-1
SRR2912775	-1
SRR1929408	0
SRR341656	2
SRR5650075	-1
SRR2912809	1
ERR260233	1
SRR341597	-1
SRR341635	2
SRR2912799	1
SRR413727	2
ERR260137	1
ERR260167	1
SRR413668	2
SRR1761665	0
SRR5650114	-1
SRR5650058	-1
SRR341723	2
SRR341637	2
ERR260147	1
ERR260158	1
ERR260211	1
SRR5650079	-1
SRR341664	2
SRR341644	-1
SRR341607	-1
SRR341598	2
SRR2912790	1
SRR341688	2
ERR260206	1
SRR1761707	0
ERR260156	-1
ERR260145	-1
SRR5650077	1
SRR413730	2
SRR341616	2
SRR1761698	0
SRR1761704	0
SRR341605	2
SRR5650057	-1
SRR1930136	0
ERR260208	1
SRR341601	2
SRR341715	-1
SRR341680	-1
SRR1930122	0
SRR5650064	1
SRR341707	1
SRR1930138	0
ERR260181	1
SRR341591	2
SRR341667	-1
SRR2912784	-1
SRR341697	2
SRR5650053	1
SRR5650091	1
ERR260140	1
ERR260179	1
ERR260188	1
SRR1930141	0
SRR341683	2
SRR5650081	-1
SRR341628	2
SRR341621	2
SRR341651	2
SRR341695	-1
SRR1930133	0
ERR260148	1
ERR260143	1
SRR5650117	-1
SRR341716	2
SRR341581	2
ERR260186	1
SRR341653	2
SRR1761669	0
SRR341698	2
ERR260225	1
SRR341704	2
ERR260196	1
