Cohort	Cluster	Count
EA	grey	32
EA	orange	3
EA	purple	133
NAG	grey	41
NAG	orange	58
NAG	purple	1
NAI	grey	7
NAI	orange	29
SA	blue	32
SA	grey	1
WA	blue	27
WEG	blue	1
WEG	grey	6
WEG	orange	93
