	SRR5650119	SRR3131760	SRR3131720	SRR5650133	SRR3131748	SRR3131740	SRR5650117	SRR5650120	SRR5650148	SRR5650158	SRR5650110	SRR3131708	SRR3131736	SRR5650153	SRR3131722	SRR5650150	SRR5650136	SRR5650143	SRR3131752	SRR5650127	SRR5650144	SRR3131750	SRR5650130	SRR5650111	SRR3131696	SRR3131762	SRR3131786	SRR5650132	SRR5650135	SRR3131756	SRR5650126	SRR3131712	SRR5650137	SRR3131702	SRR5650113	SRR3131744	SRR3131770	SRR5650121	SRR3131732	SRR3131768	SRR3131788	SRR3131694	SRR5650116	SRR3131728	SRR5650142	SRR3131698	SRR5650157	SRR3131772	SRR3131782	SRR5650118	SRR5650151	SRR5650141	SRR5650146	SRR5650128	SRR5650139	SRR5650123	SRR5650145	SRR3131730	SRR5650155	SRR5650129	SRR3131754	SRR3131700	SRR3131742	SRR3131812	SRR3131758	SRR3131714	SRR3131764	SRR5650147	SRR5650138	SRR5650112	SRR3131776	SRR5650115	SRR5650114	SRR3131774	SRR3131716	SRR3131790	SRR5650131	SRR5650152	SRR5650122	SRR3131780	SRR3131706	SRR5650154	SRR5650125	SRR3131718	SRR5650124	SRR3131710	SRR5650159	SRR3131738	SRR3131692	SRR3131704	SRR3131724	SRR3131766	SRR5650134	SRR3131726	SRR3131734	SRR3131778	SRR3131784	SRR5650156	SRR3131746	SRR5650140	SRR5650149
adult_c_000010613001_1	0	0	0	22	0	0	768	2	8	480	818	0	0	0	0	16	4	12	0	220	176	0	358	318	0	0	0	10	0	0	2	0	12	0	0	0	0	0	0	0	0	0	64	0	322	0	672	0	0	0	4	686	302	18	118	4	300	0	10	780	0	0	0	0	0	0	0	4	2	2	0	100	60	0	0	0	186	4	106	0	0	0	4	0	2	0	650	0	0	0	0	0	2	0	0	0	0	20	0	128	22
adult_c_000010613012_1	14	0	0	4240	0	0	318	4	200	3240	1132	0	0	76	0	406	90	60750	0	92	234	0	158	160	0	0	0	4490	120	0	6	0	4198	0	1926	0	0	0	0	0	0	0	48	0	512	0	6172	0	0	14	90	348	346	122	194	32	194	0	1118	192	0	0	0	0	0	0	0	1420	9200	214	0	8	0	0	0	0	12	78	132	0	0	96	2002	0	8	0	916	0	0	0	0	0	368	0	0	0	0	3218	0	258	1620
adult_c_000010613216_1	2	0	0	4	0	0	436	0	4	1436	16	0	0	4	0	2	2	4	0	152	2	0	214	0	0	0	0	6	72	0	0	0	14	0	2	0	0	2	0	0	0	0	10	0	4	0	1624	0	4110	18	0	2	0	6	0	8	0	0	6	592	0	0	0	0	0	0	0	2	176	0	0	42	8	0	0	0	42	0	200	0	0	2	12	0	4	0	2256	0	0	0	0	0	0	0	0	0	0	8	0	0	0
adult_c_000010613291_1	2	0	0	3120	0	0	162	0	18	510	762	0	286	8	0	152	66	13948	0	66	134	0	126	176	0	0	0	4264	18	0	0	0	420	0	706	0	0	4	0	0	0	2	106	0	78	0	772	0	0	2	6	274	136	146	98	2	152	0	78	398	0	0	0	0	0	0	0	96	524	288	0	50	174	0	0	0	20	20	40	0	0	20	4	0	0	0	744	0	0	0	0	0	210	0	0	0	0	182	12	60	112
adult_c_000010613334_1	84	0	0	6598	0	0	112	338	340	4440	1430	0	0	224	0	524	476	4512	0	60	254	0	68	166	0	0	0	17408	82	0	1170	0	198	0	2762	0	0	64	0	0	0	0	24	0	1684	0	8734	0	0	110	162	1006	890	180	1100	96	434	0	1176	234	0	0	0	0	0	0	0	2786	276	554	0	14	4	0	0	0	50	112	278	0	0	84	126	0	34	0	1624	0	0	0	0	0	1000	0	0	0	0	5474	0	1130	1854
adult_c_000010840574_1	36	0	0	56	0	0	1258	42	12	12	16	0	0	4	0	14	12	126	0	5732	14	0	2574	0	0	0	0	84	10	0	2572	0	14	0	22	0	0	2	0	0	0	0	242	0	8	0	12	0	0	474	2	6	8	20	10	22	18	0	12	7108	0	0	0	0	0	0	0	18	56	8	0	4	0	0	0	0	588	2	1914	0	0	2	24	0	4	0	18	0	0	0	0	0	32	0	0	0	0	16	0	8	10
adult_c_000010840580_1	10430	0	0	3610	0	0	1280	6956	1304	378	5616	0	0	922	0	1856	2058	6296	0	9218	1808	0	2736	1056	0	200	0	2490	414	0	826	0	2828	0	1528	0	0	6220	0	0	250	0	244	0	2020	0	212	0	0	1112	1310	1424	302	1650	1958	310	2072	0	926	6966	0	0	0	0	0	0	0	2888	1680	288	0	78	528	0	0	0	1402	1542	1656	0	0	442	2770	0	1712	126	370	0	0	0	0	0	1552	0	2	0	0	2880	0	2910	1208
adult_c_000010840695_1	10	0	0	0	0	0	4326	2	388	372	42	0	0	304	0	280	754	5370	0	1332	370	0	1860	32	0	0	0	20	272	0	0	0	532	0	2	0	0	2	0	0	0	0	374	0	698	0	446	0	0	2	350	2560	1010	1054	316	6	750	0	18	4190	0	0	0	0	0	0	0	50	1332	2	0	0	6	0	0	0	834	496	500	0	0	342	2	0	4	0	448	0	0	0	0	0	0	0	0	0	0	22	0	612	16
adult_c_000010840712_1	8	0	0	22	0	0	1710	4	2	370	720	0	0	0	0	24	2	6	0	620	184	0	752	356	0	0	0	6	0	0	0	0	12	0	0	0	0	2	0	0	0	0	136	0	466	0	568	0	0	6	0	874	332	8	116	0	354	0	10	1700	0	0	0	0	0	0	0	22	0	0	0	80	50	0	0	0	370	0	196	0	0	2	6	0	0	0	450	0	0	0	0	0	2	0	0	0	0	32	0	130	22
adult_c_000010993363_1	0	0	0	0	0	0	2	0	8	2	7190	0	0	0	0	2	2	4	0	2	2	0	6	894	0	0	0	4	2	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	8	0	2	0	0	2	0	0	0	8	0	4	2	0	4	12	0	0	0	0	0	0	0	8	4	0	0	0	2194	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	0
adult_c_000010993568_1	12	0	0	38	0	0	2	2	6	8	2826	0	0	0	0	2	4	268	0	0	8	0	4	788	0	0	0	28	2	0	0	0	6	0	8	0	0	8	0	0	0	0	0	0	6	0	6	0	0	134	0	2	2	14	4	12	2	0	6	4	0	0	0	0	0	0	0	4	72	0	0	13182	1456	0	0	0	2	0	0	0	0	0	52	0	46	0	38	0	0	0	0	0	14	0	0	0	0	2	0	36	2
adult_c_000010993709_1	4	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	4	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	978	924	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
adult_c_000011135113_1	8	0	0	100	0	0	4	0	33748	0	6	0	0	12982	0	4	32008	4	0	0	212	0	22	0	0	0	0	46	9698	0	0	0	10	0	16	0	0	6	0	0	0	0	4	0	388	0	0	0	0	24	23282	2770	420	31026	290	4	364	0	0	16	0	0	0	0	0	0	0	2	4	6	0	2	0	0	0	0	0	29628	2	0	0	10080	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	304	8
adult_c_000011259081_1	928	0	0	586	0	0	42	224	654	0	928	0	0	452	0	80	992	1658	0	116	102	0	36	72	0	0	0	768	112	0	178	0	278	0	222	0	0	2	0	0	0	0	2	0	148	0	4	0	0	0	1180	122	46	750	166	0	106	0	194	274	0	0	0	0	0	0	0	812	536	76	0	438	84	0	0	0	34	1632	40	0	0	142	228	0	4	0	2	0	0	0	0	0	232	0	0	0	0	524	0	172	296
adult_c_000012458878_1	30	0	0	54672	0	0	7542	10	754	8972	130	0	0	586	0	21146	2284	165618	0	1520	2670	0	4046	40	0	0	2	125212	620	0	12	0	14506	0	16078	0	0	6	0	0	26	0	1354	0	6266	0	3886	0	0	38	576	8478	9030	4202	1944	26	4060	0	5244	13922	0	0	0	0	0	0	0	10672	35170	6846	0	0	18	0	0	0	1090	762	1976	0	0	1474	20	0	16	4	5280	0	0	0	0	0	8756	0	0	0	0	13038	0	4590	15380
adult_c_000012458882_1	0	0	0	62	0	0	22	2	40	10	156	0	0	102	0	34	166	16116	0	2	168	0	14	40	0	0	0	318	52	0	2	0	1606	0	28	0	0	2	0	0	0	0	2	0	56	0	8	0	0	2	64	212	122	334	98	8	128	0	6	30	0	0	0	0	0	0	0	10	4014	4	0	0	12	0	0	0	14	84	8	0	0	76	12	0	2	0	36	0	0	0	0	0	10	0	0	0	0	20	0	74	4
adult_c_000012458901_1	34	0	0	194	0	0	10	4	20	2	32	0	0	6	0	32	10	3150	0	32	4	0	54	0	0	0	0	36	8	0	28	0	2044	0	98	0	0	6	0	0	0	0	0	0	2	0	4	0	0	2	8	4	0	30	4	200	0	0	120	6	0	0	0	0	0	0	0	280	7090	2	0	2	0	0	0	0	0	10	6	0	0	4	16	0	28	0	8	0	0	0	0	0	4	0	0	0	0	560	0	6	96
adult_c_000012458990_1	2	0	0	26	0	0	0	2	116	4	18	0	0	168	0	100	130	7304	0	14	20	0	24	4	0	0	0	30	24	0	174	0	1118	0	10	0	0	0	0	0	0	0	0	0	38	0	0	0	0	4	118	142	44	70	58	2	32	0	132	4	0	0	0	0	0	0	0	526	3420	0	0	2	2	0	0	0	2	96	0	0	0	32	92	0	0	0	2	0	0	0	0	0	138	0	0	0	0	382	0	164	170
adult_c_000012459043_1	6	0	0	38	0	0	2	0	6	594	20	0	0	2	0	40	4	4846	0	0	2	0	2	2	0	0	0	212	0	0	2	0	1228	0	10	0	0	2	0	0	0	0	0	0	6	0	180	0	0	8	2	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	32	996	12	0	12	4	0	0	0	0	0	0	0	0	2	6	0	2	0	114	0	0	0	0	0	18	0	0	0	0	6	0	4	16
adult_c_000012459167_1	4	0	0	0	0	2	2	128	2	0	28	0	0	0	0	2	2	2	0	2	0	0	0	4	0	0	0	2	2	0	4	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	16	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	880	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
adult_c_000012459381_1	136	0	0	472	0	0	196	542	892	10	470	0	0	252	0	546	470	2568	0	134	94	0	26	136	0	0	0	1194	72	0	0	0	1122	0	430	0	0	268	0	0	0	0	6	0	90	0	18	0	0	20	556	52	32	468	46	94	72	0	946	764	0	0	0	0	0	0	0	2532	3124	228	0	18	46	0	0	0	34	648	362	0	0	78	8	0	218	0	10	0	0	0	0	0	556	0	0	0	0	2868	0	46	1164
adult_c_000012771082_1	8	0	0	4	0	0	4	0	50	0	4	0	0	116	0	50	72	316	0	6	628	0	6	0	0	0	0	8	24	0	30	0	50	0	6	0	0	0	0	0	0	0	0	0	1614	0	0	0	0	2	98	2930	1388	50	2208	0	1816	0	78	2	0	0	0	0	0	0	0	260	82	0	0	0	0	0	0	0	2	66	0	0	0	14	38	0	0	0	6	0	0	0	0	0	14	0	0	0	0	224	0	4028	106
adult_c_000012771341_1	978	0	0	500	0	0	52	220	158	4	1126	0	0	126	0	80	216	1872	0	176	952	0	46	96	0	0	0	798	34	0	248	0	368	0	222	0	0	4	0	0	0	0	4	0	1188	0	2	0	0	2	218	642	396	166	972	2	538	0	74	260	0	0	0	0	0	0	0	556	850	54	0	580	120	0	0	0	32	300	82	0	0	40	52	0	6	0	2	0	0	0	0	0	276	0	0	0	0	192	0	836	96
adult_c_000013094138_1	20208	0	0	9100	0	0	40	8452	10	0	2476	0	0	2	0	34	4	264	0	212	4	0	58	472	0	0	0	14434	8	0	6	0	0	0	2542	0	0	10616	0	0	0	0	0	0	6	0	0	0	0	12	0	16	0	0	0	168	2	0	92	134	0	0	0	0	0	0	0	52	6	954	0	0	0	0	0	0	18	0	50	0	0	2	6	0	8174	0	0	0	0	0	0	0	3644	0	0	0	0	84	0	8	136
adult_c_000013094215_1	1006	0	0	1108	0	0	286	1300	1826	382	400	0	0	892	0	1838	1630	8712	0	78	88	0	90	216	0	0	0	3222	352	0	564	0	1150	0	1570	0	0	1782	0	0	0	0	18	0	66	0	812	0	0	8	2138	108	38	2324	56	254	34	0	2138	360	0	0	0	0	0	0	0	7464	2724	562	0	6	6	0	0	0	28	2674	484	0	0	292	42	0	3906	0	896	0	0	0	0	0	740	0	0	0	0	6720	0	122	2164
adult_c_000013094287_1	5056	0	0	1820	0	0	1396	3724	2124	554	2420	0	0	2184	0	5266	3650	34690	0	376	4082	0	302	250	0	0	0	2584	254	0	142	0	4352	0	1352	0	0	3186	0	0	0	0	74	0	3708	0	274	0	2	66	1650	4082	2752	2760	3434	24	3590	0	458	1160	0	0	0	0	0	0	0	3856	6322	394	0	438	132	0	0	0	200	1546	112	0	0	810	820	0	21238	0	1198	0	0	0	0	0	840	0	0	0	0	1078	0	4630	804
adult_c_000013094433_1	7122	0	0	2152	0	0	520	3672	1332	1068	3978	0	0	874	0	636	1320	9906	0	826	1696	0	280	344	0	0	0	2622	266	26	3300	0	996	0	2066	0	0	4464	0	0	0	0	90	0	5158	0	1252	0	0	18	972	3652	2314	626	3504	32	1696	0	764	2016	0	0	0	0	0	0	0	1820	1310	422	0	104	80	0	0	0	294	1076	1714	0	0	342	82	0	6924	0	1586	0	0	0	0	0	2720	0	0	0	0	1782	0	5754	654
adult_c_000013225982_1	0	0	0	46	0	0	10	0	2	588	14	0	0	0	0	42	0	5698	0	0	2	0	4	0	0	0	0	220	0	0	0	0	1340	0	18	0	0	2	0	0	0	0	0	0	0	0	184	0	0	2	0	6	0	4	0	0	0	0	2	6	0	0	0	0	0	0	0	30	1200	12	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	110	0	0	0	0	0	16	0	0	0	0	4	0	0	14
adult_c_000013226111_1	14	0	0	78	0	0	0	6	2	0	10	0	0	0	0	12	0	1422	0	16	0	0	30	4	0	0	0	2	0	0	2	0	822	0	38	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	2	4	0	6	0	142	0	0	54	8	0	0	0	0	0	0	0	132	2516	0	0	2	2	0	0	0	2	8	2	0	0	2	4	0	2	0	6	0	0	0	0	0	0	0	0	0	0	178	0	2	44
adult_c_000013226115_1	0	0	0	48	0	0	32	8	48	12	136	0	0	90	0	36	176	15780	0	8	164	0	12	40	0	0	0	344	36	0	4	0	1632	0	28	0	0	0	0	0	0	0	0	0	76	0	8	0	0	4	46	198	124	318	104	2	158	0	2	44	0	0	0	0	0	0	0	6	3996	2	0	0	18	0	0	0	6	66	10	0	0	54	12	0	4	0	26	0	0	0	0	0	8	0	0	0	0	36	0	92	6
adult_c_000013226543_1	130	0	0	420	0	0	160	540	856	12	578	0	0	274	0	648	386	2746	0	142	98	0	30	128	0	0	0	1192	70	0	0	0	1032	0	392	0	0	306	0	0	0	0	20	0	66	0	40	0	0	10	534	60	48	414	46	48	84	0	1056	816	0	0	0	0	0	0	0	2596	2830	260	0	8	40	0	0	0	52	556	278	0	0	74	6	0	286	0	22	0	0	0	0	0	462	0	0	0	0	2912	0	50	1162
adult_c_000013454083_1	2	0	0	84	0	0	16	34	0	36	16	0	0	2	0	26	4	614	0	64	2	0	42	2	0	0	0	58	0	0	2	0	2	0	38	0	0	6	0	0	0	0	0	0	6	0	16	0	0	1464	2	10	10	4	4	36	0	0	18	124	0	0	0	0	0	0	0	72	66	0	0	54	0	0	0	0	14	0	10	0	0	2	5482	0	14	0	38	0	0	0	0	0	2	0	0	0	0	66	0	8	20
adult_c_000013454086_1	6354	0	0	4148	138	0	1648	3900	572	1686	3560	0	0	354	0	342	588	16046	0	878	1148	0	240	392	148	82	0	4404	140	806	1098	0	2738	0	2672	0	0	3312	142	0	0	0	42	0	1842	0	2218	0	0	1976	440	1336	740	544	1902	1346	1162	0	560	2322	0	0	0	0	0	0	0	1322	3818	518	0	4224	532	0	0	0	168	542	1912	0	0	184	5828	0	2256	0	2458	0	0	0	0	0	1636	0	24	0	0	1366	0	2782	1138
adult_c_000013454101_1	372	0	0	840	0	0	370	200	292	188	1040	0	0	124	0	250	328	1924	0	408	334	0	130	92	0	0	0	1452	186	22	188	0	372	0	394	0	0	168	0	0	0	0	20	0	504	0	172	0	0	3466	234	522	378	584	606	92	366	0	256	1040	0	0	0	0	0	0	0	936	422	100	0	266	14	0	0	0	160	352	256	0	0	92	5422	0	130	0	246	0	0	0	0	0	354	0	0	0	0	908	0	620	382
adult_c_000013454101_2	0	0	0	20	2	0	236	6	10	12	8	0	0	10	0	10	20	48	0	98	0	0	46	4	0	0	0	74	2	2	0	0	22	0	10	0	0	10	0	0	0	0	2	0	4	0	12	0	0	320	12	2	2	44	0	0	0	0	6	380	0	0	0	0	0	0	0	58	14	6	0	10	0	0	0	0	38	12	178	0	0	4	810	0	2	0	34	0	0	0	0	0	34	0	0	0	0	14	0	0	22
adult_c_000013454543_1	1124	0	0	1920	0	0	212	234	418	2	2370	0	0	278	0	264	554	3924	0	370	166	0	138	266	0	0	0	2254	104	0	522	0	870	0	728	0	0	0	0	0	0	0	2	0	314	0	10	0	0	4	482	170	84	510	208	0	158	0	282	866	0	0	0	0	0	0	0	1216	1920	244	0	684	162	0	0	0	96	708	294	0	0	84	2404	0	32	0	4	0	0	0	0	0	802	0	0	0	0	654	0	280	294
adult_c_000013455219_1	580	0	0	192	6	0	158	306	32	136	222	0	0	16	0	30	52	846	0	78	80	0	22	28	8	0	0	202	14	34	76	0	182	0	170	0	0	208	4	0	0	0	2	0	118	0	142	0	0	1310	30	116	84	50	142	142	80	0	34	254	0	0	0	0	0	0	0	114	274	24	0	344	62	0	0	0	20	56	158	0	0	14	3582	0	216	0	216	0	0	0	0	0	70	0	0	0	0	106	0	270	76
adult_c_000013455746_1	480	0	0	108	0	0	336	480	218	68	714	0	0	174	0	456	314	360	0	80	248	0	66	56	0	34	0	98	80	0	158	0	196	0	66	0	0	198	0	0	250	0	26	0	248	0	74	0	0	546	136	64	18	212	170	160	282	0	112	544	0	0	0	0	0	0	0	354	56	22	0	40	56	0	0	0	42	126	48	0	0	68	2816	0	750	126	84	0	0	0	0	0	64	0	0	0	0	292	0	184	104
adult_c_000013661145_1	0	0	0	108	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
adult_c_000013661145_2	0	0	0	372	0	0	44	0	0	0	2	0	0	0	0	0	0	2	0	26	0	0	64	0	0	0	0	116	0	0	0	0	0	0	56	0	0	0	0	0	0	0	16	0	2	0	2	0	0	2	0	0	2	0	0	2	0	0	0	156	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	12	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adult_c_000013661145_3	8	0	0	5950	0	0	2796	8	306	424	14	0	0	64	0	42	292	92	0	1002	134	0	1592	2	0	0	0	2864	132	0	6	0	10	0	1456	0	0	2	0	0	14	0	1318	0	276	0	130	0	0	10	272	770	264	762	62	2	122	0	4	6022	0	0	0	0	0	0	0	10	24	150	0	2	4	0	0	0	336	458	976	0	0	104	14	0	6	10	222	0	0	0	0	0	194	0	0	0	0	12	0	146	8
adult_c_000013661185_1	10	0	0	2100	0	0	4	2	2	10	0	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	1576	2	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	2	0	2	0	0	6	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	14	2	134	0	2	0	0	0	0	0	0	2	0	0	2	6	0	0	0	34	0	0	0	0	0	278	0	0	0	0	28	0	2	2
adult_c_000013661289_1	0	0	0	670	0	0	28	6	0	0	0	0	0	0	0	2	0	0	0	46	0	0	10	0	0	0	0	760	2	0	0	0	4	0	404	0	0	0	0	0	0	0	6	0	2	0	0	0	0	6	0	0	2	4	0	0	0	0	0	70	0	0	0	0	0	0	0	0	12	52	0	0	0	0	0	0	8	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	48	0	0	0	0	4	0	2	0
adult_c_000013661363_1	548	0	0	3946	0	0	94	378	80	160	1258	0	0	42	0	56	98	1080	0	76	168	0	52	140	0	0	0	4260	34	0	314	0	48	0	1900	0	0	368	0	0	0	0	16	0	136	0	186	0	0	0	90	202	116	92	318	92	232	0	24	300	0	0	0	0	0	0	0	138	46	410	0	354	228	0	0	0	16	116	180	0	0	20	162	0	204	0	352	0	0	0	0	0	1564	0	0	0	0	80	0	376	32
adult_c_000013661363_2	3504	0	0	28096	0	0	486	1836	332	1200	5802	0	0	292	0	518	586	9530	0	860	812	0	756	472	0	0	0	31484	252	0	4740	0	410	0	11834	0	0	1586	0	0	0	0	172	0	516	0	1054	0	0	790	378	754	548	482	1254	1168	648	0	380	3182	0	0	0	0	0	0	0	1448	562	2856	0	1798	1548	0	0	0	272	460	1376	0	0	222	1956	0	1220	0	2890	0	0	0	0	0	11314	0	0	0	0	942	0	1300	352
adult_c_000013661385_1	4	0	0	1966	0	0	2	4	6	0	202	0	0	4	0	0	4	222	0	0	24	0	6	20	0	0	0	1358	4	0	0	0	14	0	504	0	0	0	0	0	0	0	2	0	118	0	0	0	0	2	0	108	18	4	24	0	46	0	52	6	0	0	0	0	0	0	0	68	34	268	0	190	78	0	0	0	0	0	2	0	0	0	6	0	2	0	0	0	0	0	0	0	326	0	0	0	0	86	0	220	10
adult_c_000013661423_1	2	0	0	480	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
adult_c_000013661442_1	2	0	0	15764	0	0	2	2	2	0	12	0	0	0	0	300	28	898	0	4	134	0	4	0	0	0	0	4912	50	0	4	0	134	0	2442	0	0	2	0	0	0	0	0	0	718	0	2	0	0	6	0	3762	1048	16	344	4	582	0	134	8	0	0	0	0	0	0	0	310	540	274	0	0	2	0	0	0	4	18	0	0	0	6	4	0	2	0	0	0	0	0	0	0	452	0	0	0	0	334	0	410	222
adult_c_000013661550_1	0	0	0	1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	1442	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	156	102	0	20	0	72	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	28	0
adult_c_000013661550_2	6	0	0	10496	0	0	2	4	8	4	8	0	0	0	0	6	28	2	0	0	184	0	2	2	0	0	0	13180	2	0	0	0	0	0	3948	0	0	0	0	0	0	0	0	0	236	0	0	0	0	2	6	860	354	50	122	2	252	0	0	2	0	0	0	0	0	0	0	0	6	954	0	0	0	0	0	0	2	2	2	0	0	4	4	0	0	0	0	0	0	0	2	0	1824	0	0	0	0	2	0	112	0
adult_c_000013661551_1	16	0	0	6028	0	0	70	12	34	4	38	0	0	32	0	128	82	4336	0	16	26	0	102	2	0	0	0	10084	36	0	18	10	634	0	2354	0	0	4	0	0	0	0	2	0	76	0	6	0	0	34	54	68	34	58	44	2	36	0	208	58	0	0	0	0	0	0	0	462	484	648	0	6	0	0	0	0	2	62	12	0	0	24	372	0	20	0	24	0	0	0	0	0	1584	0	0	0	0	672	0	90	194
adult_c_000013661766_1	8	0	0	994	0	0	24	6	2	0	36	0	0	2	0	8	2	8	0	48	4	0	12	2	0	0	0	1270	0	0	2	0	6	0	786	0	0	2	0	0	0	0	8	0	0	0	0	0	0	2	4	2	6	0	0	2	4	0	8	82	0	0	0	0	0	0	0	22	0	68	0	0	0	0	0	0	6	0	36	0	0	0	2	0	0	0	0	0	0	0	0	0	82	0	0	0	0	12	0	4	6
adult_c_000013661838_1	2	0	0	4978	0	0	2	0	196	4	4518	0	0	122	0	2714	448	6	0	0	0	0	2	904	0	0	0	5614	154	0	2	0	0	0	1926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	190	0	0	586	2	2	0	0	666	2	0	0	0	0	0	0	0	1416	0	402	0	232	264	0	0	0	0	304	0	0	0	106	0	0	0	0	0	0	0	0	0	0	1166	0	0	0	0	1562	0	2	1796
adult_c_000013661873_1	0	0	0	1454	0	0	10	0	208	70	2	0	0	142	0	116	232	1816	0	84	192	0	2	0	0	0	0	982	158	0	132	0	42	0	272	0	0	0	0	0	0	0	14	0	190	0	154	0	0	2	220	276	314	192	242	2	112	0	58	6	0	0	0	0	0	0	0	136	98	68	0	0	0	0	0	0	0	440	98	0	0	46	6	0	0	0	314	0	0	0	0	0	270	0	0	0	0	130	0	414	44
adult_c_000013662038_1	4	0	0	68034	0	0	3492	6	426	3236	1562	0	82	220	0	7048	748	9936	0	1628	1478	0	1928	434	0	0	0	106164	374	0	2	0	1412	0	24286	0	0	4	0	0	10	0	552	0	1568	0	1652	0	0	12	430	7222	2500	1122	1458	6	2358	0	804	7244	0	0	0	0	0	0	0	1768	2268	5792	0	664	218	0	0	0	588	604	918	0	0	280	8	0	8	10	2684	0	0	0	0	0	12238	0	0	0	0	3302	0	1302	2150
adult_c_000013662066_1	68	0	0	2158	0	0	110	32	16	28	42	0	0	2	0	6	8	146	0	186	14	0	38	0	0	0	0	2782	10	2	34	0	14	0	1228	0	0	20	0	0	0	0	18	0	20	0	28	0	0	22	2	30	14	8	20	72	4	0	16	320	0	0	0	0	0	0	0	38	14	112	0	66	2	0	0	0	26	14	134	0	0	2	42	0	18	0	84	0	0	0	0	0	160	0	0	0	0	88	0	44	14
adult_c_000013662340_1	12	0	0	1726	0	0	330	8	4	0	2	0	0	2	0	6	2	0	0	190	6	0	8	0	0	0	0	1462	0	0	0	0	0	0	648	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	10	0	2	4	0	0	116	0	0	0	0	0	0	0	8	2	272	0	0	0	0	0	0	160	2	392	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	8	2
adult_c_000013662355_1	2	0	0	1272	0	0	4	0	6	510	14	0	0	0	0	10	4	180	0	0	58	0	4	4	0	0	0	7364	4	0	2	0	34	0	700	0	0	0	0	0	0	0	0	0	174	0	156	0	0	6	0	64	172	0	14	10	102	0	4	6	0	0	0	0	0	0	0	32	38	282	0	6	2	0	0	0	0	0	0	0	0	0	2	0	2	0	122	0	0	0	0	0	784	0	0	0	0	10	0	166	4
adult_c_000013662409_1	0	0	0	1168	0	0	12	4	0	2	2	0	0	2	0	2	2	4	0	62	0	0	12	0	0	0	0	1250	0	0	0	0	0	0	548	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	6	0	0	4	0	4	78	0	0	0	0	0	0	0	2	2	60	0	0	0	0	0	0	10	0	46	0	0	0	4	0	0	0	0	0	0	0	0	0	64	0	0	0	0	6	0	4	0
adult_c_000013662810_1	0	0	0	602	0	0	2	2	0	0	0	0	0	0	0	74	0	52	0	0	0	0	2	0	0	0	0	1078	0	0	2	0	2	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	54	0	0	0	0	0	0	0	0	68	4	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	500	0	4	182
