	SRR5650119	SRR3131760	SRR3131720	SRR5650133	SRR3131748	SRR3131740	SRR5650117	SRR5650120	SRR5650148	SRR5650158	SRR5650110	SRR3131708	SRR3131736	SRR5650153	SRR3131722	SRR5650150	SRR5650136	SRR5650143	SRR3131752	SRR5650127	SRR5650144	SRR3131750	SRR5650130	SRR5650111	SRR3131696	SRR3131762	SRR3131786	SRR5650132	SRR5650135	SRR3131756	SRR5650126	SRR3131712	SRR5650137	SRR3131702	SRR5650113	SRR3131744	SRR3131770	SRR5650121	SRR3131732	SRR3131768	SRR3131788	SRR3131694	SRR5650116	SRR3131728	SRR5650142	SRR3131698	SRR5650157	SRR3131772	SRR3131782	SRR5650118	SRR5650151	SRR5650141	SRR5650146	SRR5650128	SRR5650139	SRR5650123	SRR5650145	SRR3131730	SRR5650155	SRR5650129	SRR3131754	SRR3131700	SRR3131742	SRR3131812	SRR3131758	SRR3131714	SRR3131764	SRR5650147	SRR5650138	SRR5650112	SRR3131776	SRR5650115	SRR5650114	SRR3131774	SRR3131716	SRR3131790	SRR5650131	SRR5650152	SRR5650122	SRR3131780	SRR3131706	SRR5650154	SRR5650125	SRR3131718	SRR5650124	SRR3131710	SRR5650159	SRR3131738	SRR3131692	SRR3131704	SRR3131724	SRR3131766	SRR5650134	SRR3131726	SRR3131734	SRR3131778	SRR3131784	SRR5650156	SRR3131746	SRR5650140	SRR5650149
adult_c_000009797086_1	456	0	0	0	6	0	0	296	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	98	4	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	1216	0	30	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
adult_c_000009902672_1	2	0	0	262	0	0	0	4	2	0	2	0	0	2	0	18	0	6272	0	0	0	0	4	0	0	0	0	132	0	0	0	0	38	0	62	0	0	0	0	0	0	0	0	0	112	0	0	0	0	2	0	84	56	2	16	2	2	0	10	4	0	0	0	0	0	0	0	42	118	14	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	104	0	8	16
adult_c_000009902758_1	22	0	0	10	0	0	6	38	4	2	2	0	0	0	0	2	6	6654	0	2	2	0	2	0	0	0	0	10	2	0	2	0	402	0	2	0	0	6	0	0	0	0	0	0	6	0	0	0	0	10	0	6	2	8	0	70	0	0	2	12	0	0	0	0	0	0	0	0	528	0	0	0	2	0	0	0	0	0	2	0	0	6	16	0	190	0	0	0	0	0	0	0	0	0	0	0	0	4	0	8	2
adult_c_000009902917_1	2	0	0	0	0	0	0	2	2	250	126	0	0	0	0	0	0	978	0	0	0	0	0	12	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adult_c_000009903018_1	12	0	0	2160	0	0	14	16	16	8	12	0	0	10	0	1584	260	18160	0	24	374	0	80	0	0	0	0	2970	10	0	20	0	126	0	246	0	0	6	0	0	0	0	6	0	326	0	2	0	0	28	10	1632	318	186	1728	12	66	0	80	84	0	0	0	0	0	0	0	852	128	134	0	2	0	0	0	0	36	4	12	0	0	12	18	0	6	0	0	0	0	0	0	0	4	0	0	0	0	632	0	1462	246
adult_c_000009903073_1	6	0	0	2	0	0	8	6	6	0	24	0	0	4	0	4	8	2368	0	6	8	0	0	2	0	0	0	6	0	0	4	0	110	0	2	0	0	4	0	0	0	0	0	0	4	0	2	0	0	14	2	4	0	16	4	0	0	0	4	12	0	0	0	0	0	0	0	4	286	4	0	2	0	0	0	0	2	4	2	0	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14	0
adult_c_000009903079_1	24	0	0	8	0	0	2	82	0	0	0	0	0	0	0	4	0	210	0	8	0	0	6	0	0	0	0	6	0	4	0	0	0	0	4	0	0	66	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	24	10	0	0	0	2	0	2	0	0	2	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
adult_c_000009903079_2	262	0	0	78	0	0	40	964	6	34	36	0	0	2	0	24	0	2546	0	22	16	0	58	6	0	0	0	130	0	0	2	0	2	0	16	0	0	478	0	0	0	0	8	0	4	0	32	0	0	8	0	8	0	6	2	1594	0	0	0	104	0	0	0	0	0	0	0	6	2	2	0	16	12	0	0	0	18	0	28	0	0	0	716	0	148	0	28	0	0	0	0	0	8	0	0	0	0	12	0	20	0
adult_c_000009903082_1	6	0	0	32	0	0	22	14	36	4	66	0	0	10	0	14	16	4556	0	2	12	0	8	6	0	0	0	34	16	0	10	0	446	0	6	0	0	10	0	0	0	0	0	0	28	0	16	0	0	20	30	14	14	28	36	20	22	0	6	20	0	0	0	0	0	0	0	32	520	2	0	16	4	0	0	0	0	8	10	0	0	0	6	0	4	0	12	0	0	0	0	0	14	0	0	0	0	56	0	40	18
adult_c_000009903100_1	6	0	0	32	0	0	0	4	4	568	10	0	0	0	0	38	2	5414	0	0	2	0	6	6	0	0	0	210	0	0	0	0	1350	0	14	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	4	2	6	0	0	6	10	0	0	0	0	0	0	0	36	1140	8	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	126	0	0	0	0	0	18	0	0	0	0	6	0	4	12
adult_c_000009903210_1	2900	0	0	6080	0	0	1280	1522	770	756	3958	0	0	464	0	886	1004	38756	0	2028	2416	0	754	696	0	0	0	12542	274	0	910	0	3702	0	5174	0	0	1652	0	0	0	0	158	0	1426	0	596	0	0	1210	800	3842	1084	1112	4204	100	1414	0	684	3890	0	0	0	0	0	0	0	1984	2684	2064	0	112	238	0	0	0	462	1224	2656	0	0	228	184	0	1768	0	1162	0	0	0	0	0	2314	0	0	0	0	2064	0	5320	1268
adult_c_000009903212_1	2	0	0	36	0	0	898	0	0	6	4	0	0	0	0	10	0	2650	0	32	10	0	10	4	0	0	0	32	2	0	0	0	40	0	20	0	0	0	0	0	0	0	0	0	36	0	2	0	0	16	0	44	24	0	24	2	24	0	18	110	0	0	0	0	0	0	0	36	98	2	0	28	2	0	0	0	8	0	4	0	0	0	64	0	2	0	10	0	0	0	0	0	2	0	0	0	0	46	0	24	10
adult_c_000009903260_1	14	0	0	4	0	0	20	8	14	0	4	0	0	4	0	6	2	48484	0	4	2	0	4	0	0	0	0	2	6	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	18	2	10	0	10	2	6	4	0	4	16	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	2	0	0	4	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	14	0
